# Name	EventId	Message (English, named {placeholders})
# ============================ Smb (4000-4999) ============================
# -- server lifecycle 4000-4099 --
SmbAlreadyRunning	4001	SMB server already running, start skipped.
SmbNotRunning	4002	SMB server not running, stop skipped.
SmbStopped	4003	SMB server stopped.
SmbLibraryMessage	4004	{Message}
SmbAuditEvent	4005	SMB audit: {Event}
SmbStarted	4006	SMB server started with {ShareCount} shares (ABE active).
SmbWatchingStorage	4007	Watching storage folder: {Path}
# -- share sync 4100-4199 --
SmbShareLoaded	4101	Share loaded: {Share} ({ShareId}) -> {Path}
SmbStorageChanged	4102	Storage change detected ({Reason}), synchronizing shares.
SmbSyncFailed	4103	Share sync from database failed.
SmbShareAlreadyExists	4104	Share already exists, skipped: {Share}
SmbShareAdded	4105	Share added at runtime: {Share} ({ShareId}) -> {Path}
SmbShareNotFound	4106	Share not found, skipped: {Share}
SmbShareRemoved	4107	Share removed at runtime: {Share} ({ShareId})
SmbShareUpdated	4108	Share updated: {OldName} -> {NewName} ({ShareId}) -> {Path}
SmbShareRemovedSync	4109	Share removed during sync: {Share} ({ShareId})
SmbShareUpdatedSync	4110	Share updated during sync: {Share} -> {Path}
SmbShareAddedSync	4111	Share added during sync: {Share} ({ShareId}) -> {Path}
SmbSyncCompleted	4112	Database sync complete: {ShareCount} active shares.
# -- identity/auth 4200-4299 --
SmbUserNotFound	4201	SMB auth: user not found: {User}
SmbNtHashLookupFailed	4202	SMB auth: failed to retrieve NT hash for {User}.
SmbUserAuthenticated	4203	SMB auth: user authenticated: {User}
# -- share policy 4300-4399 --
SmbVisibilityCheckFailed	4301	SMB ABE visibility check failed for share {Share}.
SmbShareAccessCheckFailed	4302	SMB share access check failed: {User} -> {Share}.
# -- file store 4400-4499 --
SmbCreateFailed	4401	SMB create failed for {Path}.
SmbReadFailed	4402	SMB read failed.
SmbWriteFailed	4403	SMB write failed.
SmbQueryDirectoryFailed	4404	SMB directory query failed.
SmbSnapshotsFailed	4405	SMB snapshot enumeration failed.
# -- managed service 4500-4599 --
SmbServiceStartFailed	4501	SMB service start failed.
SmbServiceStopFailed	4502	SMB service stop failed.
# -- protocol/config 4600-4699 --
SmbProtocolConfig	4601	SMB protocol {MinVersion}..{MaxVersion}, Signing={Signing}, Encryption={Encryption}, WsDiscovery={WsDiscovery}, Audit={Audit}, ServerGuid={ServerGuid}
SmbProtocolLoadFailed	4602	Could not load SMB protocol settings, using defaults.
SmbServerGuidLoadFailed	4603	Could not load SMB server GUID, using a random one.
# ============================ Core (1000-1999) ============================
# -- FileService 1000-1099 --
FileVersionSnapshotFailed	1001	Versioning failed while closing {Path}.
FileSearchHookFailed	1002	Search index hook failed for {Path}.
FileOwnerRecordFailed	1003	Failed to record owner for {Path}.
FileWriteVersionFailed	1004	Versioning failed after writing {Path}.
# -- FileVersionService 1100-1199 --
FileVersionCreated	1101	Created version {Version} for {Path} ({OriginalBytes} -> {CompressedBytes} bytes, {Ratio} ratio).
FileVersionBlobCorruptReplaced	1102	Replacing corrupt version blob {StoragePath}.
FileVersionBlobDeleteFailed	1103	Failed to delete unreferenced version blob {StoragePath}.
FileVersionRetentionSwept	1104	Version retention removed {VersionsRemoved} versions across {PathsExamined} paths older than {CutoffUtc}.
FileVersionOrphanBlobsReclaimed	1105	Reclaimed {BlobsDeleted} orphaned version blobs ({BytesReclaimed} bytes), {TempFilesDeleted} stale write temporaries and {ReadCacheFilesDeleted} read-cache files across {ShardCount} shards.
FileVersionOrphanSweepFailed	1106	Orphan version blob sweep failed for shard {ShardPrefix}.
# ============================ Infrastructure (2000-2999) ============================
# -- storage 2000-2099 --
StorageAclLoadFailed	2001	ACL load failed for {Path}.
